'bout	ˈba͡ʊt
cerveza(2)	ˌsɛɹˈveɪzə
cervi	ˈtʃɛɹviː
cervical	ˈsɜːvəkəl
cervical(2)	ˈsɜːvɪkəl
cervini	tʃɚˈviːniː
cervix	ˈsɜːvɪks
cervone	tʃɚˈvoʊniː
ceryl	ˈsɛɹəl
cesar	ˈsiːzɚ
cesare	tʃeɪˈzɑːɹeɪ
cesario	tʃɛˈsɑːɹiːoʊ
cesaro	tʃɛˈsɑːɹoʊ
cesarz	ˈseɪsɑːɹz
cesena	tʃɛˈsɛnə
cesium	ˈsiːziːəm
cespedes	seɪˈspeɪdɛs
cessation	ˌsɛˈseɪʃən
cessna	ˈsɛsnə
cessna(2)	ˈsɛznə
cessna's	ˈsɛsnəz
cessna's(2)	ˈsɛznəz
cesspool	ˈsɛˌspuːl
cestaro	tʃɛˈstɑːɹoʊ
ceta	ˈsɛtə
ceta(2)	ˈsiːˈiːˈtiːˈeɪ
cetacean	sɪˈteɪʃən
cetacean(2)	siːˈteɪʃən
cetec	ˈsiːˌtɛk
cetera	ˈsɛtɚə
cetus	ˈsiːtəs
cetus's	ˈsiːtəsɪz
cevallos	seɪˈvɑːloʊz
cevaxs	ˈsɛvæksɪz
ceylon	sɪˈlɑːn
ceylon(2)	siːˈlɑːn
cezanne	ˌsɛˈzæn
cezanne's	ˌsɛˈzænz
cfo	ˈsiːˌɛˈfoʊ
cgi	ˌsiːˌɡiːˈa͡ɪ
cha	ˈtʃɑː
cha-chas	ˈtʃɑːˌtʃɑːz
chablis	ʃəˈbliː
chabon	ˈtʃeɪbən
chabot	ʃəˈboʊ
chacabuco	ˌtʃækəˈbjuːkoʊ
chace	ˈtʃeɪs
chachere	ʃəˈʃɪɹ
chachi	ˈtʃɑːtʃiː
chacin	ˈʃeɪsɪn
chacko	ˈtʃækoʊ
chacon	ˈtʃækən
chad	ˈtʃæd
chad's	ˈtʃædz
chadbourne	ʃədˈbʊɹn
chadd	ˈtʃæd
chadderdon	tʃəˈdɜːdən
chaddock	ˈtʃædək
chadel	ˈtʃædəl
chadian	ˈtʃeɪdiːən
chadick	ˈtʃædɪk
chadli	ˈtʃædliː
chadron	ˈtʃædɹən
chadwell	ˈtʃæˌdwɛl
chadwick	ˈtʃædwɪk
chadwick's	ˈtʃædwɪks
chae	ˈtʃa͡ɪ
chaebol	ˈtʃeɪbəl
chafe	ˈtʃeɪf
chafed	ˈtʃeɪft
chafee	ˈtʃæfiː
chafee(2)	ˈtʃeɪfiː
chafee's	ˈtʃeɪfiːz
chafee's(2)	ˈtʃæfiːz
chafes	ˈtʃeɪfs
chafete	tʃəˈfiːt
chaff	ˈtʃæf
chaffee	ˈtʃæfiː
chaffin	ˈtʃæfɪn
chaffins	ˈtʃæfɪnz
chaffy	ˈtʃæfiː
chafin	ˈtʃæfɪn
chafing	ˈtʃeɪfɪŋ
chagall	tʃəˈɡɑːl
chagall(2)	tʃəˈɡæl
chagnon	ˈtʃæɡnən
chagrin	ʃəˈɡɹɪn
chagrined	ʃəˈɡɹɪnd
chai	ˈtʃa͡ɪ
chaidez	tʃɑːˈiːdɛz
chaiken	ˈtʃeɪkən
chaikin	ˈtʃeɪkɪn
chaim	ˈha͡ɪɪm
chain	ˈtʃeɪn
chain's	ˈtʃeɪnz
chained	ˈtʃeɪnd
chaining	ˈtʃeɪnɪŋ
chains	ˈtʃeɪnz
chains'	ˈtʃeɪnz
chainsaw	ˈtʃeɪnˌsɔː
chainsaws	ˈtʃeɪnˌsɔːz
chair	ˈtʃɛɹ
chaired	ˈtʃɛɹd
chaires	ˈʃɛɹz
chairez	tʃɑːˈɪɹɛz
chairing	ˈtʃɛɹɪŋ
chairman	ˈtʃɛɹmən
chairman's	ˈtʃɛɹmənz
chairmanship	ˈtʃɛɹmənˌʃɪp
chairmanships	ˈtʃɛɹmənˌʃɪps
chairmen	ˈtʃɛɹmɪn
chairpeople	ˈtʃɛɹˌpiːpəl
chairperson	ˈtʃɛɹˌpɜːsən
chairs	ˈtʃɛɹz
chairwoman	ˈtʃɛɹˌwʊmən
chairwomen	ˈtʃɛɹˌwɪmɛn
chaise	ˈʃeɪz
chaisson	ˈtʃeɪsən
chait	ˈtʃeɪt
chajet	ˈtʃædʒət
chalabi	tʃəˈlɑːbiː
chalasani	ˌtʃæləˈsæniː
chalcedony	ˈtʃælsəˌdoʊniː
chalet	ˈʃæˌleɪ
chalet(2)	ʃəˈleɪ
chalets	ʃəˈleɪz
chalets(2)	ˈʃæˌleɪz
chalfant	ˈtʃæfənt
chalfant(2)	ˈtʃæfɑːnt
chalfin	ˈtʃælfɪn
chalice	ˈtʃælɪs
chalifoux	ˈʃælɪfuː
chalk	ˈtʃɑːk
chalk(2)	ˈtʃɔːk
chalked	ˈtʃɔːkt
chalker	ˈtʃɔːkɚ
chalking	ˈtʃɔːkɪŋ
chalkley	ˈtʃælkliː
chalks	ˈtʃɔːks
challender	tʃəˈlɛndɚ
challenge	ˈtʃæləndʒ
challenged	ˈtʃæləndʒd
challenger	ˈtʃæləndʒɚ
challenger(2)	ˈtʃælɪndʒɚ
challenger's	ˈtʃæləndʒɚz
challengers	ˈtʃæləndʒɚz
challengery	ˈtʃæləndʒɚiː
challenges	ˈtʃæləndʒɪz
challenging	ˈtʃæləndʒɪŋ
challis	ˈʃæliː
chalmers	ˈtʃɑːmɚz
chalmette	ʃælˈmɛt
chaloupka	tʃəˈluːpkə
chaloux	ʃəˈluː
chalsty	ˈtʃælstiː
chalupa	tʃəˈluːpə
cham	ˈtʃæm
chamber	ˈtʃeɪmbɚ
chamber's	ˈtʃeɪmbɚz
chambered	ˈtʃeɪmbɚd
chamberlain	ˈtʃeɪmbɚlən
chamberlain(2)	ˈtʃeɪmbɚlɪn
chamberlain's	ˈtʃeɪmbɚlənz
chamberland	ˈtʃæmbɚlənd
chamberlayne	ˈtʃeɪmbɚˌleɪn
chamberlin	ˈtʃeɪmbɚlɪn
chambers	ˈtʃeɪmbɚz
chambers'	ˈtʃeɪmbɚz
chambers's	ˈtʃeɪmbɚzɪz
chamblee	ˈtʃæmbliː
chambless	ʃəmˈbliːs
chamblin	ˈtʃæmblɪn
chambliss	ˈtʃæmblɪs
chambon	ˈtʃæmbən
chameleon	kəˈmiːliːən
chamlee	ˈtʃæmliː
chamlong	ˈtʃæmˌlɔːŋ
chamness	ˈtʃæmnɪs
chamomile	ˌkæməˈma͡ɪl
chamomile(2)	ˌkæməˈmiːl
chamonix	ˈtʃæmənɪks
chamonix(2)	ʃæmoʊniː
chamorro	tʃəˈmɔːɹoʊ
chamorro(2)	tʃoʊˈmɔːɹoʊ
chamorro's	tʃəˈmɔːɹoʊz
champ	ˈtʃæmp
champa	ˈkɑːmpə
champagne	ʃæmˈpeɪn
champagnes	ʃæmˈpeɪnz
champaign	tʃæmˈpeɪn
champaign-urbana	tʃæmˈpeɪnɚˈbænə
champeau	ʃæmˈpoʊ
champine	ˈtʃæmˌpa͡ɪn
champion	ˈtʃæmpiːən
champion's	ˈtʃæmpiːənz
championed	ˈtʃæmpiːənd
championing	ˈtʃæmpiːənɪŋ
champions	ˈtʃæmpiːənz
championship	ˈtʃæmpiːənˌʃɪp
championship's	ˈtʃæmpiːənˌʃɪps
championships	ˈtʃæmpiːənˌʃɪps
champlain	ʃæmˈpleɪn
champlin	ˈtʃæmplɪn
champney	ˈtʃæmpniː
champoux	ʃæmˈpuː
champs	ˈtʃæmps
chan	ˈtʃæn
chan's	ˈtʃænz
chana	ˈtʃænə
chance	ˈtʃæns
chanced	ˈtʃænst
chancellor	ˈtʃænsəlɚ
chancellor(2)	ˈtʃænslɚ
chancellor's	ˈtʃænsəlɚz
chancellors	ˈtʃænsəlɚz
chancery	ˈtʃænsɚiː
chances	ˈtʃænsəz
chances(2)	ˈtʃænsɪz
chancey	ˈtʃænsiː
chancy	ˈtʃænsiː
chand	ˈtʃænd
chanda	ˈtʃændə
chandelier	ʃændəˈlɪɹ
chandeliers	ˌʃændəˈlɪz
chandler	ˈtʃændlɚ
chandler's	ˈtʃændlɚz
chandley	ˈtʃændliː
chandon	ˈtʃændɪn
chandon(2)	ˌʃænˈdɑːn
chandra	ˈtʃændɹə
chandrika	tʃɑːnˈdɹiːkə
chandrika(2)	ʃɑːnˈdɹiːkə
chandross	tʃænˈdɹɔːs
chanel	ʃəˈnɛl
chaney	ˈtʃeɪniː
chang	ˈtʃæŋ
chang-hsin	ˈtʃɑːŋˈʃɪn
chang-ming	ˈtʃɑːŋˈmɪŋ
chang-ming(2)	ˈtʃæŋˈmɪŋ
changchun	ˈtʃɑːŋˈtʃʊn
change	ˈtʃeɪndʒ
changeable	ˈtʃeɪndʒəbəl
changed	ˈtʃeɪndʒd
changeover	ˈtʃeɪnˌdʒoʊvɚ
changeovers	ˈtʃeɪnˌdʒoʊvɚz
changer	ˈtʃeɪndʒɚ
changers	ˈtʃeɪndʒɚz
changes	ˈtʃeɪndʒəz
changes(2)	ˈtʃeɪndʒɪz
changing	ˈtʃeɪndʒɪŋ
changsho	ˈtʃæŋˈʃoʊ
chanin	ˈtʃænɪn
chanishiva	ʃɑːnɪˈʃiːvə
chanley	ˈtʃænliː
channel	ˈtʃænəl
channel's	ˈtʃænəlz
channeled	ˈtʃænəld
channeling	ˈtʃænəlɪŋ
channeling(2)	ˈtʃænlɪŋ
channell	ˈtʃænəl
channell's	ʃəˈnɛlz
channels	ˈtʃænəlz
channing	ˈtʃænɪŋ
channon	ˈtʃænən
chanos	ˈtʃɑːnoʊs
chanson	ˈʃɑːnˌsɔːn
chant	ˈtʃænt
chantal	ˈtʃæntəl
chanted	ˈtʃæntɪd
chantilly	ˌʃænˈtɪliː
chanting	ˈtʃæntɪŋ
chants	ˈtʃænts
chanukah	ˈhɑːnəkə
chany	ˈtʃeɪniː
chao	ˈtʃa͡ʊ
chaos	ˈkeɪɑːs
chaotic	keɪˈɑːtɪk
chap	ˈtʃæp
chapa	ˈtʃɑːpə
chaparral	ˌʃæpɚˈæl
chaparro	kɑːˈpɑːɹoʊ
chapas	ˈtʃɑːpəs
chapdelaine	ˈʃæpdɪleɪn
chapek	ˈtʃæpɪk
chapel	ˈtʃæpəl
chapel's	ˈtʃæpəlz
chapell	ʃəˈpɛl
chapelle	ʃəˈpɛl
chaperone	ˈʃæpɚˌoʊn
chaperones	ˈʃæpɚˌoʊnz
chaperoning	ˈʃæpɚˌoʊnɪŋ
chapin	ʃəˈpæn
chaplain	ˈtʃæplən
chaplains	ˈtʃæplənz
chaplan	ˈtʃæplən
chaplin	ˈtʃæplən
chaplin(2)	ˈtʃæplɪn
chaplin's	ˈtʃæplɪnz
chapman	ˈtʃæpmən
chapman's	ˈtʃæpmənz
chapnick	ˈtʃæpnɪk
chapoton	ˈtʃæpoʊˌtɑːn
chapp	ˈtʃæp
chappaquiddick	ˌtʃæpəˈkwɪdɪk
chappel	ˈtʃæpəl
chappelear	ˈʃæpɪlɚ
chappell	ˈtʃæpəl
chappelle	ʃəˈpɛl
chappie	ˈtʃæpiː
chapple	ˈtʃæpəl
chappuis	ˈʃæpuːɪz
chaps	ˈtʃæps
chapter	ˈtʃæptɚ
chapters	ˈtʃæptɚz
chaput	ˈtʃæpət
char	ˈtʃɑːɹ
chara	ˈtʃɑːɹə
character	ˈkɛɹɪktɚ
character's	ˈkɛɹɪktɚz
characteristic	ˌkɛɹəktɚˈɪstɪk
characteristically	ˌkɛɹəktɚˈɪstɪkliː
characteristics	ˌkɛɹəktɚˈɪstɪks
characterization	ˌkɛɹəktɚɪˈzeɪʃən
characterizations	ˌkɛɹəktɚɪˈzeɪʃənz
characterize	ˈkɛɹəktɚˌa͡ɪz
characterized	ˈkɛɹəktɚˌa͡ɪzd
characterizes	ˈkɛɹəktɚˌa͡ɪzəz
characterizing	ˈkɛɹəktɚˌa͡ɪzɪŋ
characters	ˈkæɹəktɚz
characters(2)	ˈkɛɹəktɚz
characters'	ˈtʃɛɹəktɚz
charade	ʃɚˈeɪd
charades	ʃɚˈeɪdz
charalambos	ˌtʃɑːɹəˈlɑːmboʊs
charasse	ˈtʃɛɹæs
charboneau	ˈʃɑːɹbənoʊ
charbonneau	ˈʃɑːɹbəˌnoʊ
charbonnet	ˈʃɑːɹbənɪt
charbonnet(2)	ˈʃɑːɹbəneɪ
charcoal	ˈtʃɑːɹˌkoʊl
charcoals	ˈtʃɑːɹˌkoʊlz
charcuterie	ˈʃɑːɹkʊˌtɹiː
chard	ˈtʃɑːɹd
chardonnay	tʃɑːɹˈdɑːneɪ
chardonnays	tʃɑːɹˈdɑːneɪz
charen	ˈtʃɑːɹən
charen's	ˈtʃɑːɹənz
charest	ʃɑːˈɹɛst
charette	ʃɚˈɛt
charge	ˈtʃɑːɹdʒ
chargeable	ˈtʃɑːɹdʒəbəl
chargeback	ˈtʃɑːɹdʒˌbæk
chargebacks	ˈtʃɑːɹdʒˌbæks
charged	ˈtʃɑːɹdʒd
charger	ˈtʃɑːɹdʒɚ
chargers	ˈtʃɑːɹdʒɚz
charges	ˈtʃɑːɹdʒəz
charges(2)	ˈtʃɑːɹdʒɪz
chargeurs	tʃɑːɹˈɡjuːɹz
charging	ˈtʃɑːɹdʒɪŋ
chargit	ˈtʃɑːɹdʒɪt
chargois	ʃɑːɹˈɡwɑː
chariot	ˈtʃɛɹiːət
chariots	ˈtʃɛɹiːəts
charisma	kɚˈɪzmə
charismatic	kɛɹɪzˈmætɪk
charismatics	ˌkɛɹɪzˈmætɪks
charissa	kɑːˈɹiːsə
charita	kɑːˈɹiːtə
charitable	ˈtʃæɹətəbəl
charitable(2)	ˈtʃɛɹətəbəl
charitably	ˈtʃɛɹɪtəbliː
charities	ˈtʃɛɹətiːz
charities(2)	ˈtʃɛɹɪtiːz
charities'	ˈtʃɛɹɪtiːz
charity	ˈtʃɛɹɪtiː
charity's	ˈtʃɛɹətiːz
charla	ˈtʃɑːɹlə
charland	ˈtʃɑːɹlənd
charlatan	ˈʃɑːɹlətən
charlatans	ˈʃɑːɹlətənz
charlayne	ʃɑːɹˈleɪn
charle	ˈtʃɑːɹl
charlebois	ˈʃɑːɹlɪbwɑː
charleen	tʃɑːɹˈliːn
charlemagne	ˈʃɑːɹləˌmeɪn
charlene	ʃɑːɹˈliːn
charles	ˈtʃɑːɹlz
charles(2)	ˈtʃɑːɹəlz
charles'	ˈtʃɑːɹlz
charles'(2)	ˈtʃɑːɹəlz
charles's	ˈtʃɑːɹlzɪz
charleston	ˈtʃɑːɹlstən
charleston(2)	ˈtʃɑːɹəlstən
charleston's	ˈtʃɑːɹlstənz
charleston's(2)	ˈtʃɑːɹəlstənz
charlestown	ˈtʃɑːɹlˌsta͡ʊn
charlestown(2)	ˈtʃɑːɹəlˌsta͡ʊn
charlesworth	ˈtʃɑːɹəlswɚθ
charlesworth(2)	ˈtʃɑːɹəlzwɚθ
charlet	ˈtʃɑːɹlɪt
charlevoix	ˈʃɑːɹləvwə
charley	ˈtʃɑːɹliː
charley's	ˈtʃɑːɹliːz
charlie	ˈtʃɑːɹliː
charlie's	ˈtʃɑːɹliːz
charlier	ˈtʃɑːɹliːɚ
charline	ʃɑːɹˈliːn
charlize	ˌʃɑːɹˈliːz
charlot	ˈtʃɑːɹlət
charlotte	ˈʃɑːɹlət
charlotte's	ˈʃɑːɹləts
charlottesville	ˈʃɑːɹlətsˌvɪl
charlottetown	ˈʃɑːɹlətˌta͡ʊn
charlotteville	ˈʃɑːɹlətˌvɪl
charls	ˈtʃɑːɹlz
charlson	ˈtʃɑːɹlsən
charlton	ˈtʃɑːɹltən
charm	ˈtʃɑːɹm
charmain	ʃɑːɹˈmeɪn
charmaine	ʃɑːɹˈmeɪn
charmed	ˈtʃɑːɹmd
charmer	ˈtʃɑːɹmɚ
charmers	ˈtʃɑːɹmɚz
charmian	ˈtʃɑːɹmiːən
charming	ˈtʃɑːɹmɪŋ
charmingly	ˈtʃɑːɹmɪŋliː
charmion	ˈtʃɑːɹmiːən
charms	ˈtʃɑːɹmz
charney	ˈtʃɑːɹniː
charnley	ˈtʃɑːɹnliː
charnock	ˈtʃɑːɹnək
charon	ˈkɛɹən
charpentier	ˌʃɑːɹpənˈtɪɹ
charpie	ˈtʃɑːɹpiː
charred	ˈtʃɑːɹd
charren	ˈtʃɛɹən
charrette	ʃəˈɹɛt
charrier	ˈtʃæɹiːɚ
charring	ˈtʃɑːɹɪŋ
charron	ˈtʃɛɹən
charron(2)	ˈkɛɹən
charry	ˈtʃæɹiː
chart	ˈtʃɑːɹt
charted	ˈtʃɑːɹtəd
charted(2)	ˈtʃɑːɹtɪd
charter	ˈtʃɑːɹtɚ
charter's	ˈtʃɑːɹtɚz
chartered	ˈtʃɑːɹtɚd
charterhouse	ˈtʃɑːɹtɚˌha͡ʊs
chartering	ˈtʃɑːɹtɚɪŋ
charters	ˈtʃɑːɹtɚz
chartier	ˈtʃɑːɹtiːɚ
charting	ˈtʃɑːɹtɪŋ
chartist	ˈtʃɑːɹtɪst
chartists	ˈtʃɑːɹtɪsts
chartrand	ˈtʃɑːɹtɹənd
chartres	ˈtʃɑːɹtɹiːz
chartreuse	ʃɑːɹˈtɹuːz
chartreuse(2)	ʃɑːɹˈtɹuːs
charts	ˈtʃɑːɹts
chartwell	ˈtʃɑːɹˌtwɛl
charvat	ˈtʃɑːɹvət
charwoman	ˈtʃɑːɹwʊmən
charwomen	ˈtʃɑːɹwɪmən
chary	ˈtʃɑːɹiː
charyl	ˈtʃæɹəl
chas	ˈtʃɑːz
chase	ˈtʃeɪs
chase's	ˈtʃeɪsɪz
chased	ˈtʃeɪst
chasen	ˈtʃeɪsən
chaser	ˈtʃeɪsɚ
chasers	ˈtʃeɪsɚz
chases	ˈtʃeɪsəz
chases(2)	ˈtʃeɪsɪz
chasin	ˈtʃæsɪn
chasing	ˈtʃeɪsɪŋ
chaska	ˈtʃæskə
chasm	ˈkæzəm
chason	ˈtʃæsən
chasse	ˈtʃæs
chassis	ˈtʃæsiː
chastain	ʃəˈsteɪn
chaste	ˈtʃeɪst
chasteen	tʃəˈstiːn
chasten	ˈtʃeɪsən
chastened	ˈtʃeɪsənd
chastise	tʃæˈsta͡ɪz
chastised	tʃæˈsta͡ɪzd
chastises	tʃæˈsta͡ɪzɪz
chastising	tʃæˈsta͡ɪzɪŋ
chastity	ˈtʃæstətiː
chasuble	ˈtʃɑːˌsuːbəl
chat	ˈtʃæt
chataqua	ʃəˈtɑːkwə
chateau	ʃæˈtoʊ
chateaux	ʃəˈtoʊ
chatfield	ˈtʃætˌfiːld
chatham	ˈtʃætəm
chatichai	ˈtʃætɪˌtʃa͡ɪ
chatichai's	ˈtʃæˌtɪka͡ɪz
chatichai's(2)	ˈtʃætɪˌtʃa͡ɪz
chatihachi	ˌtʃætɪˈhɑːtʃiː
chatihachi's	ˌtʃætɪˈhɑːtʃiːz
chatman	ˈtʃætmən
chatmon	ˈtʃætmən
chato	ˈtʃeɪtoʊ
chatroom	ˈtʃæˌtɹuːm
chats	ˈtʃæts
chatswood	ˈtʃætˌswʊd
chatsworth	ˈtʃætˌswɜːθ
chattahoochee	ˌtʃætəˈhuːtʃiː
chattahoochee's	ˌtʃætəˈhuːtʃiːz
chattanooga	ˌtʃætəˈnuːɡə
chattanooga's	ˌtʃætəˈnuːɡəz
chattanuga	ˌtʃætəˈnuːɡə
chatted	ˈtʃætəd
chatted(2)	ˈtʃætɪd
chattel	ˈtʃætəl
chatter	ˈtʃætɚ
chattering	ˈtʃætɚɪŋ
chatterjee	tʃəˈtɜːdʒiː
chatterton	ˈtʃætɚtən
chatterton's	ˈtʃætɚtənz
chattin	ˈtʃætɪn
chatting	ˈtʃætɪŋ
chatty	ˈtʃætiː
chatwal	ˈtʃæˌtwɔːl
chatwin	ˈtʃætwɪn
chatz	ˈtʃæts
chatz'	ˈtʃæts
chatz's	ˈtʃætsɪz
chau	ˈʃoʊ
chaucer	ˈtʃɔːsɚ
chaucer's	ˈtʃɔːsɚz
chaudhry	ˈtʃɔːdɹiː
chaudoin	ʃoʊˈdɔɪn
chauffeur	ʃoʊˈfɜː
chauffeur(2)	ˈʃoʊfɚ
chauffeur's	ʃoʊˈfɜːz
chauffeur's(2)	ˈʃoʊfɚz
chauffeured	ʃoʊˈfɜːd
chauffeured(2)	ˈʃoʊfɚd
chauffeurs	ʃoʊˈfɜːz
chauffeurs(2)	ˈʃoʊfɚz
chaumet	ˈtʃɔːmɪt
chaunce	ˈtʃɔːns
chauncey	ˈtʃɔːnsiː
chauncy	ˈtʃɔːnsiː
chaus	ˈtʃa͡ʊs
chausse	ˈtʃa͡ʊs
chaussee	ˈtʃa͡ʊsiː
chautauqua	ʃəˈtɔːkwə
chautauquan	ʃəˈtɔːkwən
chautauquans	ʃəˈtɔːkwənz
chauvin	ʃoʊˈvæn
chauvinism	ˈʃoʊvəˌnɪzəm
chauvinist	ˈʃoʊvənəst
chauvinistic	ˌtʃoʊvəˈnɪstɪk
chauvinists	ˈʃoʊvənəsts
chavalit	tʃəˈvɑːlɪt
chavarria	tʃəˈvæɹiːə
chavers	ˈtʃeɪvɚz
chaves	ˈtʃeɪvz
chavez	ˈʃɑːvɛz
chavez(2)	ˈtʃæˌvɛz
chavez(3)	ʃəˈvɛz
chavin	ˈtʃeɪvɪn
chavira	kɑːˈvɪɹə
chavis	ˈtʃævɪs
chavis(2)	ˈtʃeɪvɪs
chavis'	ˈtʃævɪs
chavis'(2)	ˈtʃeɪvɪs
chavitz	ˈtʃævɪts
chavous	ʃəˈvɔːs
chaw	ˈtʃɔː
chawla	ˈtʃɔːlə
chayon	ˈtʃeɪən
chaz	ˈtʃæz
chazanoff	ˈtʃæzənɔːf
chazen	ˈtʃeɪzən
chazov	ˈtʃæzɑːv
chazz	ˈtʃæz
chazz(2)	ˈtʃɑːz
che	ˈtʃeɪ
che's	ˈtʃeɪz
chea	ˈtʃiː
cheadle	ˈtʃiːdəl
cheane	ˈtʃiːn
cheane's	ˈtʃiːnz
cheaney	ˈtʃiːniː
cheap	ˈtʃiːp
cheapen	ˈtʃiːpən
cheapened	ˈtʃiːpənd
cheapening	ˈtʃiːpənɪŋ
cheapens	ˈtʃiːpənz
cheaper	ˈtʃiːpɚ
cheapest	ˈtʃiːpəst
cheaply	ˈtʃiːpliː
cheapness	ˈtʃiːpnəs
cheapo	ˈtʃiːˌpoʊ
cheapskate	ˈtʃiːpˌskeɪt
cheat	ˈtʃiːt
cheated	ˈtʃiːtəd
cheated(2)	ˈtʃiːtɪd
cheater	ˈtʃiːtɚ
cheaters	ˈtʃiːtɚz
cheatham	ˈtʃiːtəm
cheating	ˈtʃiːtɪŋ
cheats	ˈtʃiːts
cheatum	ˈtʃiːtəm
cheatwood	ˈtʃiːˌtwʊd
chebrikov	ˈtʃɛbɹɪˌkɑːv
chebyshev	ˌtʃɛbɪˈʃɛv
checchi	ˈtʃɛkiː
chechen	ˈtʃɛtʃɪn
chechen's	ˈtʃɛtʃɪnz
chechens	ˈtʃɛtʃɪnz
chechnya	ˈtʃɛtʃniːə
chechnya's	ˈtʃɛtʃniːəz
chechnyan	ˈtʃɛtʃniːən
chechnyan's	ˈtʃɛtʃniːənz
chechnyans	ˈtʃɛtʃniːənz
check	ˈtʃɛk
check-up	ˈtʃɛˌkʌp
checkbook	ˈtʃɛkˌbʊk
checkbooks	ˈtʃɛkˌbʊks
checked	ˈtʃɛkt
checker	ˈtʃɛkɚ
checkerboard	ˈtʃɛkɚˌbɔːɹd
checkerboarding	ˈtʃɛkɚˌbɔːɹdɪŋ
checkerboards	ˈtʃɛkɚˌbɔːɹdz
checkered	ˈtʃɛkɚd
checkers	ˈtʃɛkɚz
checkerspot	ˈtʃɛkɚˌspɑːt
checketts	ˈtʃɛkɪts
checking	ˈtʃɛkɪŋ
checklist	ˈtʃɛˌklɪst
checklists	ˈtʃɛˌklɪsts
checkmate	ˈtʃɛkˌmeɪt
checkmates	ˈtʃɛkˌmeɪts
checkoff	ˈtʃɛˌkɔːf
checkout	ˈtʃɛˌka͡ʊt
checkouts	ˈtʃɛˌka͡ʊts
checkpoint	ˈtʃɛkˌpɔɪnt
checkpoints	ˈtʃɛkˌpɔɪnts
checks	ˈtʃɛks
checkup	ˈtʃɛˌkʌp
checkups	ˈtʃɛˌkʌps
cheddar	ˈtʃɛdɚ
cheddars	ˈtʃɛdɚz
chedester	ˈtʃɛdɪstɚ
chee	ˈtʃiː
cheech	ˈtʃiːtʃ
cheek	ˈtʃiːk
cheekbone	ˈtʃiːkˌboʊn
cheekbones	ˈtʃiːkˌboʊnz
cheeked	ˈtʃiːkt
cheeks	ˈtʃiːks
cheektowaga	ˌtʃiːktəˈwɑːɡə
cheeky	ˈtʃiːkiː
cheely	ˈtʃiːliː
cheer	ˈtʃɪɹ
cheered	ˈtʃɪɹd
cheerful	ˈtʃɪɹfəl
cheerfully	ˈtʃɪɹfəliː
cheerfully(2)	ˈtʃɪɹfliː
cheerfulness	ˈtʃɪɹfəlnəs
cheerier	ˈtʃɪɹiːɚ
cheeriest	ˈtʃɪɹiːəst
cheering	ˈtʃɪɹɪŋ
cheerio	ˈtʃɪɹiːoʊ
cheerios	ˈtʃɪɹiːoʊs
cheerleader	ˈtʃɪɹˌliːdɚ
cheerleaders	ˈtʃɪɹˌliːdɚz
cheerleading	ˈtʃɪɹˌliːdɪŋ
cheers	ˈtʃɪɹz
cheery	ˈtʃɪɹiː
cheese	ˈtʃiːz
cheeseburger	ˈtʃiːzbɚɡɚ
cheeseburgers	ˈtʃiːzbɚɡɚz
cheesecake	ˈtʃiːzˌkeɪk
cheeseman	ˈtʃiːzmən
cheeser	ˈtʃiːzɚ
cheeses	ˈtʃiːzɪz
cheesier	ˈtʃiːziːɚ
cheesiest	ˈtʃiːziːɪst
cheesman	ˈtʃiːzmən
cheesy	ˈtʃiːziː
cheetah	ˈtʃiːtə
cheetahs	ˈtʃiːtəz
cheetal	ˈtʃiːtəl
cheetan	ˈtʃiːtən
cheetham	ˈtʃiːθəm
cheever	ˈtʃiːvɚ
chef	ˈʃɛf
chef's	ˈʃɛfs
chefitz	ˈtʃɛfɪts
chefs	ˈʃɛfs
cheil	ˈtʃa͡ɪl
cheimi	ˈtʃeɪmiː
chek	ˈtʃɛk
chekhov	ˈtʃɛkɑːv
chekhov's	ˈtʃɛkɑːvz
chelan	ˈtʃɛlən
chelette	ʃɪˈlɛt
chelf	ˈtʃɛlf
chell	ˈtʃɛl
chellis	ˈtʃɛlɪs
chelmsford	ˈtʃɛlmsfɚd
chelsea	ˈtʃɛlsiː
chelsea's	ˈtʃɛlsiːz
chelyabinsk	tʃɛljəˈbɪnsk
chem	ˈkɛm
chema	ˈtʃɛmɑː
chemania	tʃəˈmeɪnjə
chemclear	ˈtʃɛmˌklɪɹ
chemdesign	ˈtʃɛmdəˌza͡ɪn
chemed	ˈkɛmɛd
chemed(2)	ˈkɛmd
chemel	ˈkɛmɛl
chemerinsky	ˌtʃɛmɚˈɪnskiː
chemetron	ˈtʃɛmətɹɑːn
chemfix	ˈtʃɛmfɪks
chemi	ˈkɛmiː
chemical	ˈkɛməkəl
chemical(2)	ˈkɛmɪkəl
chemical's	ˈkɛmɪkəlz
chemically	ˈkɛməkliː
chemicals	ˈkɛmɪkəlz
chemicals'	ˈtʃɛməkəlz
chemie	ˈtʃɛmiː
chemins	ˈtʃɛmɪnz
chemins(2)	ʃəˈmɪnz
chemise	ʃəˈmiːz
chemist	ˈkɛmɪst
chemistry	ˈkɛməstɹiː
chemistry(2)	ˈkɛmɪstɹiː
chemists	ˈkɛməsts
chemists(2)	ˈkɛmɪsts
chemlawn	ˈkɛmˌlɔːn
chemlawn's	ˈkɛmˌlɔːnz
chemo	ˈkiːmoʊ
